,Unnamed: 0,imdb_id,profit,Actors,Director,Genre,IMDB Rating,IMDB Votes,Production,Rated,Year,imdbID
134,598,tt0092005,44287414,"Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell",Rob Reiner,"Adventure, Drama",8.1,"300,924",MCA Universal Home Video,R,1986,tt0092005
135,600,tt0066921,24389000,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke",Stanley Kubrick,"Crime, Drama, Sci-Fi",8.3,"617,233",Warner Bros.,R,1971,tt0066921
136,608,tt0076666,233613184,"John Travolta, Karen Lynn Gorney, Barry Miller, Joseph Cali",John Badham,"Drama, Music",6.8,"58,522",Paramount Pictures,R,1977,tt0076666
137,612,tt0078767,86432000,"James Brolin, Margot Kidder, Rod Steiger, Don Stroud",Stuart Rosenberg,Horror,6.2,"29,655",American International Picture,R,1979,tt0078767
138,624,tt0077975,138300000,"Tom Hulce, Stephen Furst, Mark Metcalf, Mary Louise Weller",John Landis,Comedy,7.6,"96,529",Universal Pictures,R,1978,tt0077975
139,628,tt0082096,71000000,"Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann, Hubertus Bengsch",Wolfgang Petersen,"Adventure, Drama, Thriller",8.4,"184,463",Columbia Pictures,R,1981,tt0082096
140,631,tt0083658,5139618,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",Ridley Scott,"Sci-Fi, Thriller",8.2,"522,827",Warner Bros. Pictures,R,1982,tt0083658
141,634,tt0087544,2301446,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",Hayao Miyazaki,"Animation, Adventure, Fantasy",8.1,"109,385",Starmaker Entertainment,PG,1984,tt0087544
142,637,tt0088247,71971200,"Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield",James Cameron,"Action, Sci-Fi",8.0,"658,112",Orion Pictures Corporation,R,1984,tt0088247
143,646,tt0068646,239066411,"Marlon Brando, Al Pacino, James Caan, Richard S. Castellano",Francis Ford Coppola,"Crime, Drama",9.2,"1,276,666",Paramount Pictures,R,1972,tt0068646
144,667,tt0087544,2301446,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",Hayao Miyazaki,"Animation, Adventure, Fantasy",8.1,"109,385",Starmaker Entertainment,PG,1984,tt0087544
145,671,tt0090563,2003822,"Jean-Hugues Anglade, Béatrice Dalle, Gérard Darmon, Consuelo De Haviland",Jean-Jacques Beineix,"Drama, Romance",7.4,"14,601",Alive Films,N/A,1986,tt0090563
146,674,tt0093058,29357676,"Matthew Modine, Adam Baldwin, Vincent D'Onofrio, R. Lee Ermey",Stanley Kubrick,"Drama, War",8.3,"538,062",Warner Bros.,R,1987,tt0093058
147,683,tt0073195,463654000,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary",Steven Spielberg,"Adventure, Drama, Thriller",8.0,"457,557",Universal Pictures,PG,1975,tt0073195
148,688,tt0075860,283788635,"Richard Dreyfuss, François Truffaut, Teri Garr, Melinda Dillon",Steven Spielberg,"Drama, Sci-Fi",7.7,"152,788",Sony Pictures Releasing,PG,1977,tt0075860
149,691,tt0080736,16647800,"Kirk Douglas, Martin Sheen, Katharine Ross, James Farentino",Don Taylor,"Action, Sci-Fi",6.7,"17,447",Live Home Video,PG,1980,tt0080736
150,696,tt0083658,5139618,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos",Ridley Scott,"Sci-Fi, Thriller",8.2,"522,827",Warner Bros. Pictures,R,1982,tt0083658
151,699,tt0083987,55737889,"Ben Kingsley, Candice Bergen, Edward Fox, John Gielgud",Richard Attenborough,"Biography, Drama, History",8.1,"187,161",Columbia Pictures,PG,1982,tt0083987
152,702,tt0087003,2600497,"Woody Allen, Mia Farrow, Nick Apollo Forte, Sandy Baron",Woody Allen,Comedy,7.5,"20,150",Vestron Video,PG,1984,tt0087003
153,703,tt0087544,2301446,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",Hayao Miyazaki,"Animation, Adventure, Fantasy",8.1,"109,385",Starmaker Entertainment,PG,1984,tt0087544
154,704,tt0093754,215496,"Avtandil Makharadze, Ia Ninidze, Zeinab Botsvadze, Ketevan Abuladze",Tengiz Abuladze,"Comedy, Drama",8.4,"3,034",Media Home Entertainment,PG,1984,tt0093754
155,721,tt0091605,57200000,"Sean Connery, Christian Slater, Helmut Qualtinger, Elya Baskin",Jean-Jacques Annaud,"Crime, Drama, Mystery",7.8,"86,908",Nelson Entertainment,R,1986,tt0091605
156,724,tt0094890,7524919,"Don Ameche, Wilford Brimley, Courteney Cox, Hume Cronyn",Daniel Petrie,"Adventure, Comedy, Mystery",5.3,"12,988",Fox,PG,1988,tt0094890
157,727,tt0097351,84431625,"Kevin Costner, Amy Madigan, Gaby Hoffmann, Ray Liotta",Phil Alden Robinson,"Drama, Family, Fantasy",7.5,"91,815",Universal Pictures,PG,1989,tt0097351
158,733,tt0099685,21836394,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",Martin Scorsese,"Crime, Drama",8.7,"803,460",Warner Bros.,R,1990,tt0099685
159,734,tt0099487,33000000,"Johnny Depp, Winona Ryder, Dianne Wiest, Anthony Michael Hall",Tim Burton,"Drama, Fantasy, Romance",7.9,"385,382",20th Century Fox,PG-13,1990,tt0099487
160,736,tt0099726,20710451,"Mel Gibson, Glenn Close, Alan Bates, Paul Scofield",Franco Zeffirelli,Drama,6.8,"18,718",Warner Home Video,PG,1990,tt0099726
161,739,tt0101376,138,N/A,Luc Besson,"Documentary, Music",6.7,"1,590",Virgin Films,N/A,1991,tt0101376
162,740,tt0087544,2301446,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",Hayao Miyazaki,"Animation, Adventure, Fantasy",8.1,"109,385",Starmaker Entertainment,PG,1984,tt0087544
163,743,tt0086879,33973029,"F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice",Milos Forman,"Biography, Drama, History",8.3,"299,019",Warner Bros. Pictures,R,1984,tt0086879
164,744,tt0088247,71971200,"Arnold Schwarzenegger, Michael Biehn, Linda Hamilton, Paul Winfield",James Cameron,"Action, Sci-Fi",8.0,"658,112",Orion Pictures Corporation,R,1984,tt0088247
165,749,tt0091149,24625550,"Vincent Price, Barrie Ingham, Val Bettin, Susanne Pollatschek","Ron Clements, Burny Mattinson, David Michener, John Musker","Animation, Adventure, Family",7.2,"36,537",Walt Disney Productions,G,1986,tt0091149
166,750,tt0093437,23722567,"Jason Patric, Corey Haim, Dianne Wiest, Barnard Hughes",Joel Schumacher,"Comedy, Horror",7.3,"100,647",Warner Bros. Pictures,R,1987,tt0093437
167,757,tt0099088,204527583,"Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson",Robert Zemeckis,"Adventure, Comedy, Sci-Fi",7.4,"318,982",MCA Universal Home Video,PG,1990,tt0099088
168,758,tt0099077,52096475,"Robert De Niro, Robin Williams, Julie Kavner, Ruth Nelson",Penny Marshall,"Biography, Drama",7.8,"101,385",Columbia Pictures,PG-13,1990,tt0099077
169,760,tt0093773,80235548,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke",John McTiernan,"Action, Sci-Fi, Thriller",7.8,"314,180",20th Century Fox,R,1987,tt0093773
170,761,tt0092890,207954274,"Jennifer Grey, Patrick Swayze, Jerry Orbach, Cynthia Rhodes",Emile Ardolino,"Drama, Music, Romance",6.9,"156,663",Vestron Pictures,PG-13,1987,tt0092890
171,766,tt0099810,169200000,"Sean Connery, Alec Baldwin, Scott Glenn, Sam Neill",John McTiernan,"Action, Adventure, Thriller",7.6,"152,535",Paramount Pictures,PG,1990,tt0099810
172,767,tt0099653,483000000,"Patrick Swayze, Demi Moore, Whoopi Goldberg, Tony Goldwyn",Jerry Zucker,"Drama, Fantasy, Romance",7.0,"164,929",Paramount Pictures,PG-13,1990,tt0099653
173,768,tt0099685,21836394,"Robert De Niro, Ray Liotta, Joe Pesci, Lorraine Bracco",Martin Scorsese,"Crime, Drama",8.7,"803,460",Warner Bros.,R,1990,tt0099685
174,769,tt0101393,77368585,"Kurt Russell, William Baldwin, Robert De Niro, Donald Sutherland",Ron Howard,"Action, Crime, Drama",6.7,"61,862",MCA Universal Home Video,R,1991,tt0101393
175,771,tt0105287,396003,"Lawrence Ng, Kent Cheng, Rena Murakami, Lieh Lo",Michael Mak,"Adventure, Comedy, Drama",5.8,"1,694",N/A,R,1991,tt0105287
176,773,tt0104257,203240178,"Tom Cruise, Jack Nicholson, Demi Moore, Kevin Bacon",Rob Reiner,"Drama, Thriller",7.7,"196,376",Columbia Pictures,R,1992,tt0104257
177,776,tt0106697,102055768,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne",Marco Brambilla,"Action, Crime, Sci-Fi",6.6,"133,800",Warner Home Video,R,1993,tt0106697
178,779,tt0110357,942483777,"Rowan Atkinson, Matthew Broderick, Niketa Calame, Jim Cummings","Roger Allers, Rob Minkoff","Animation, Adventure, Drama",8.5,"723,787",Buena Vista,G,1994,tt0110357
179,784,tt0091149,24625550,"Vincent Price, Barrie Ingham, Val Bettin, Susanne Pollatschek","Ron Clements, Burny Mattinson, David Michener, John Musker","Animation, Adventure, Family",7.2,"36,537",Walt Disney Productions,G,1986,tt0091149
180,785,tt0091059,18564613,"Joey Cramer, Paul Reubens, Cliff De Young, Veronica Cartwright",Randal Kleiser,"Adventure, Family, Sci-Fi",6.9,"36,664",Walt Disney Productions,PG,1986,tt0091059
181,788,tt0091129,54817939,"J.L. Reate, Eddie Murphy, Charles Dance, Charlotte Lewis",Michael Ritchie,"Action, Adventure, Comedy",5.9,"43,014",Paramount Home Video,PG-13,1986,tt0091129
182,791,tt0094012,15419483,"Mel Brooks, John Candy, Rick Moranis, Bill Pullman",Mel Brooks,"Adventure, Comedy, Sci-Fi",7.1,"147,095",MGM,PG,1987,tt0094012
183,792,tt0092603,4398938,"Stéphane Audran, Bodil Kjer, Birgitte Federspiel, Jarl Kulle",Gabriel Axel,"Comedy, Drama, Music",7.8,"14,857",MGM Home Entertainment,G,1987,tt0092603
184,793,tt0093693,24833181,"Goldie Hawn, Kurt Russell, Edward Herrmann, Katherine Helmond",Garry Marshall,"Comedy, Romance",6.8,"40,475",MGM,PG,1987,tt0093693
185,801,tt0092603,4398938,"Stéphane Audran, Bodil Kjer, Birgitte Federspiel, Jarl Kulle",Gabriel Axel,"Comedy, Drama, Music",7.8,"14,857",MGM Home Entertainment,G,1987,tt0092603
186,803,tt0094612,13256975,"Carl Weathers, Craig T. Nelson, Vanity, Sharon Stone",Craig R. Baxley,"Action, Comedy, Crime",5.2,"8,078",Lorimar Film Entertainment,R,1988,tt0094612
187,804,tt0094737,133668774,"Tom Hanks, Elizabeth Perkins, Robert Loggia, John Heard",Penny Marshall,"Comedy, Drama, Family",7.3,"164,643",Twentieth Century Fox Home Entertainment,PG,1988,tt0094737
188,806,tt0094862,35196684,"Catherine Hicks, Chris Sarandon, Alex Vincent, Brad Dourif",Tom Holland,"Horror, Thriller",6.6,"68,694",United Artists,R,1988,tt0094862
189,807,tt0095765,11990401,"Antonella Attili, Enzo Cannavale, Isa Danieli, Leo Gullotta",Giuseppe Tornatore,Drama,8.5,"172,032",Miramax Films,R,1988,tt0095765
190,809,tt0097757,171343479,"Rene Auberjonois, Christopher Daniel Barnes, Jodi Benson, Pat Carroll","Ron Clements, John Musker","Animation, Family, Fantasy",7.6,"188,456",Walt Disney Pictures,G,1989,tt0097757
191,816,tt0104694,92440069,"Tom Hanks, Geena Davis, Lori Petty, Madonna",Penny Marshall,"Comedy, Drama, Family",7.2,"77,034",Columbia Pictures,PG,1992,tt0104694
192,817,tt0105435,105232691,"Jo Marr, Gary Hershberger, Robert Redford, Sidney Poitier",Phil Alden Robinson,"Comedy, Crime, Drama",7.1,"46,062",Universal Pictures,PG-13,1992,tt0105435
193,818,tt0103639,476050219,"Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman","Ron Clements, John Musker","Animation, Adventure, Comedy",8.0,"288,462",Buena Vista Distribution Compa,G,1992,tt0103639
194,826,tt0087544,2301446,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",Hayao Miyazaki,"Animation, Adventure, Fantasy",8.1,"109,385",Starmaker Entertainment,PG,1984,tt0087544
195,830,tt0090555,323203506,"Paul Hogan, Linda Kozlowski, John Meillon, David Gulpilil",Peter Faiman,"Adventure, Comedy",6.5,"79,837",Paramount Pictures,PG-13,1986,tt0090555
196,834,tt0097428,178394738,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",Ivan Reitman,"Action, Comedy, Fantasy",6.5,"152,775",Sony Pictures Home Entertainment,PG,1989,tt0097428
197,835,tt0096794,43134790,"Richard Dreyfuss, Holly Hunter, Brad Johnson, John Goodman",Steven Spielberg,"Fantasy, Romance",6.4,"23,939",MCA Universal Home Video,PG,1989,tt0096794
198,841,tt0088763,362109762,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover",Robert Zemeckis,"Adventure, Comedy, Sci-Fi",8.5,"821,172",Universal Pictures,PG,1985,tt0088763
199,845,tt0089118,20603715,"Bryan Brown, Brian Dennehy, Diane Venora, Cliff De Young",Robert Mandel,"Action, Thriller",6.7,"14,536",Orion,R,1986,tt0089118
200,846,tt0091149,24625550,"Vincent Price, Barrie Ingham, Val Bettin, Susanne Pollatschek","Ron Clements, Burny Mattinson, David Michener, John Musker","Animation, Adventure, Family",7.2,"36,537",Walt Disney Productions,G,1986,tt0091149
201,847,tt0091605,57200000,"Sean Connery, Christian Slater, Helmut Qualtinger, Elya Baskin",Jean-Jacques Annaud,"Crime, Drama, Mystery",7.8,"86,908",Nelson Entertainment,R,1986,tt0091605
202,848,tt0091055,11949484,"Chuck Norris, Louis Gossett Jr., Melody Anderson, Will Sampson",J. Lee Thompson,"Action, Adventure, Comedy",5.0,"4,752",Media Home Entertainment,PG,1986,tt0091055
203,858,tt0098971,1000000,"Biao Yuen, Gloria Yip, Loletta Lee, Shintarô Katsu","Ngai Choi Lam, Sze Yu Lau","Action, Adventure, Fantasy",5.5,98,Paragon Films Ltd.,N/A,1990,tt0098971
204,859,tt0099088,204527583,"Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson",Robert Zemeckis,"Adventure, Comedy, Sci-Fi",7.4,"318,982",MCA Universal Home Video,PG,1990,tt0099088
205,864,tt0076729,126737428,"Burt Reynolds, Sally Field, Jerry Reed, Mike Henry",Hal Needham,"Action, Comedy",6.9,"35,210",Universal Pictures,PG,1977,tt0076729
206,871,tt0079714,11688469,"A. Michael Baldwin, Bill Thornbury, Reggie Bannister, Kathy Lester",Don Coscarelli,"Horror, Sci-Fi",6.8,"25,205",Well Go USA Entertainment,R,1979,tt0079714
207,885,tt0097138,9666459,"Jean-Claude Van Damme, Deborah Richter, Vincent Klyn, Alex Daniels",Albert Pyun,"Action, Sci-Fi, Thriller",5.0,"24,994",Cannon Home Video,R,1989,tt0097138
208,887,tt0097757,171343479,"Rene Auberjonois, Christopher Daniel Barnes, Jodi Benson, Pat Carroll","Ron Clements, John Musker","Animation, Family, Fantasy",7.6,"188,456",Walt Disney Pictures,G,1989,tt0097757
209,892,tt0102526,39124253,"Wesley Snipes, Ice-T, Allen Payne, Chris Rock",Mario Van Peebles,"Action, Crime, Drama",6.6,"25,969",Warner Bros. Pictures,R,1991,tt0102526
210,893,tt0102004,65595485,"Michael J. Fox, James Woods, Stephen Lang, Annabella Sciorra",John Badham,"Action, Comedy, Crime",6.3,"15,549",MCA Universal Home Video,R,1991,tt0102004
211,904,tt0087544,2301446,"Sumi Shimamoto, Mahito Tsujimura, Hisako Kyôda, Gorô Naya",Hayao Miyazaki,"Animation, Adventure, Fantasy",8.1,"109,385",Starmaker Entertainment,PG,1984,tt0087544
212,909,tt0093773,80235548,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo, Bill Duke",John McTiernan,"Action, Sci-Fi, Thriller",7.8,"314,180",20th Century Fox,R,1987,tt0093773
213,910,tt0092890,207954274,"Jennifer Grey, Patrick Swayze, Jerry Orbach, Cynthia Rhodes",Emile Ardolino,"Drama, Music, Romance",6.9,"156,663",Vestron Pictures,PG-13,1987,tt0092890
214,920,tt0097814,11272849,"Minami Takayama, Rei Sakuma, Kappei Yamaguchi, Keiko Toda",Hayao Miyazaki,"Animation, Adventure, Drama",7.9,"86,114",N/A,G,1989,tt0097814
215,921,tt0099674,82766062,"Al Pacino, Diane Keaton, Talia Shire, Andy Garcia",Francis Ford Coppola,"Crime, Drama",7.6,"297,337",Paramount Pictures,R,1990,tt0099674
216,927,tt0103855,386006740,"Kevin Costner, Whitney Houston, Gary Kemp, Bill Cobbs",Mick Jackson,"Action, Drama, Music",6.2,"98,011",Warner Home Video,R,1992,tt0103855
217,932,tt0109444,153887717,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida",Phillip Noyce,"Action, Crime, Drama",6.9,"74,493",Paramount Home Video,PG-13,1994,tt0109444
218,933,tt0110200,1907743,"Jet Li, Shinobu Nakayama, Siu-Ho Chin, Billy Chow",Gordon Chan,"Action, Drama, Thriller",7.6,"19,718",Dimension Films,R,1994,tt0110200
219,936,tt0116332,40622,"Jason Alexander, Lolita Davidovich, James Woods, Joe Mantegna",Jason Alexander,"Action, Comedy, Drama",4.8,411,N/A,PG-13,1995,tt0116332
220,937,tt0112740,104387195,"Denzel Washington, Gene Hackman, Matt Craven, George Dzundza",Tony Scott,"Action, Drama, Thriller",7.3,"86,568",Buena Vista Internationa,R,1995,tt0112740
221,939,tt0112870,86800000,"Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal",Aditya Chopra,"Comedy, Drama, Musical",8.2,"51,405",Yash Raj Films,NOT RATED,1995,tt0112870
222,945,tt0105265,43440294,"Craig Sheffer, Brad Pitt, Tom Skerritt, Brenda Blethyn",Robert Redford,Drama,7.3,"44,872",Sony Pictures Home Entertainment,PG,1992,tt0105265
223,947,tt0106856,15903593,"Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin",Joel Schumacher,"Crime, Drama, Thriller",7.6,"143,762",Warner Bros. Pictures,R,1993,tt0106856
224,952,tt0109830,622945399,"Tom Hanks, Rebecca Williams, Sally Field, Michael Conner Humphreys",Robert Zemeckis,"Comedy, Drama, Romance",8.8,"1,406,942",Paramount Pictures,PG-13,1994,tt0109830
225,954,tt0114709,343554033,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",John Lasseter,"Animation, Adventure, Comedy",8.3,"695,930",Buena Vista,G,1995,tt0114709
226,956,tt0116790,5770254,"Zdenek Sverák, Andrey Khalimon, Libuse Safránková, Ondrej Vetchý",Jan Sverák,"Comedy, Drama, Music",7.8,"12,798",Miramax,PG-13,1996,tt0116790
227,960,tt0101414,352350553,"Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury","Gary Trousdale, Kirk Wise","Animation, Family, Fantasy",8.0,"347,398",Buena Vista,G,1991,tt0101414
228,966,tt0105046,5471088,"John Malkovich, Gary Sinise, Ray Walston, Casey Siemaszko",Gary Sinise,Drama,7.5,"34,264",Metro-Goldwyn-Mayer Pictures,PG-13,1992,tt0105046
229,975,tt0112442,122407024,"Lisa Boyle, Will Smith, Martin Lawrence, Michael Taliferro",Michael Bay,"Action, Comedy, Crime",6.8,"187,238",Sony Pictures Home Entertainment,R,1995,tt0112442
230,976,tt0112384,303237933,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",Ron Howard,"Adventure, Drama, History",7.6,"225,444",Universal Pictures,PG,1995,tt0112384
231,977,tt0114709,343554033,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",John Lasseter,"Animation, Adventure, Comedy",8.3,"695,930",Buena Vista,G,1995,tt0114709
232,981,tt0110200,1907743,"Jet Li, Shinobu Nakayama, Siu-Ho Chin, Billy Chow",Gordon Chan,"Action, Drama, Thriller",7.6,"19,718",Dimension Films,R,1994,tt0110200
233,983,tt0112851,18405445,"Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin",Robert Rodriguez,"Action, Thriller",7.2,"148,164",Sony Pictures Home Entertainment,R,1995,tt0112851
234,985,tt0114709,343554033,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney",John Lasseter,"Animation, Adventure, Comedy",8.3,"695,930",Buena Vista,G,1995,tt0114709
235,986,tt0114746,139340000,"Joseph Melito, Bruce Willis, Jon Seda, Michael Chance",Terry Gilliam,"Mystery, Sci-Fi, Thriller",8.0,"502,942",Universal Pictures,R,1995,tt0114746
236,988,tt0116367,6836616,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis",Robert Rodriguez,"Action, Crime, Horror",7.3,"237,891",Dimension Films,R,1996,tt0116367
237,989,tt0116253,66969216,"Kurt Russell, Steven Seagal, Halle Berry, John Leguizamo",Stuart Baird,"Action, Adventure, Thriller",6.4,"43,407",Warner Home Video,R,1996,tt0116253
238,992,tt0118928,62127760,"Pierce Brosnan, Linda Hamilton, Jamie Renée Smith, Jeremy Foley",Roger Donaldson,"Action, Adventure, Thriller",5.9,"67,354",Universal Pictures,PG-13,1997,tt0118928
239,994,tt0118849,720000,"Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi",Majid Majidi,"Drama, Family",8.4,"38,055",Miramax,PG,1997,tt0118849
240,995,tt0118617,86804348,"Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd","Don Bluth, Gary Goldman","Animation, Adventure, Drama",7.1,"94,644",20th Century Fox,G,1997,tt0118617
241,996,tt0119217,215933435,"Matt Damon, Ben Affleck, Stellan Skarsgård, John Mighton",Gus Van Sant,Drama,8.3,"678,656",Miramax Films,R,1997,tt0119217
242,999,tt0120815,411840909,"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper",Steven Spielberg,"Drama, War",8.6,"981,718",Paramount Pictures,R,1998,tt0120815
243,1001,tt0099044,115518974,"Eddie Murphy, Nick Nolte, Brion James, Kevin Tighe",Walter Hill,"Action, Comedy, Crime",5.8,"32,113",Paramount Home Video,R,1990,tt0099044
244,1004,tt0101414,352350553,"Robby Benson, Jesse Corti, Rex Everhart, Angela Lansbury","Gary Trousdale, Kirk Wise","Animation, Family, Fantasy",8.0,"347,398",Buena Vista,G,1991,tt0101414
245,1010,tt0108333,23898845,"Charlie Sheen, Kiefer Sutherland, Chris O'Donnell, Oliver Platt",Stephen Herek,"Action, Adventure, Comedy",6.4,"43,763",Disney,PG,1993,tt0108333
246,1014,tt0112625,13940383,"Tony Todd, Kelly Rowan, William O'Leary, Bill Nunn",Bill Condon,Horror,5.2,"8,170",PolyGram Video,R,1995,tt0112625
247,1016,tt0112922,4367497,"Álex Angulo, Armando De Razza, Santiago Segura, Terele Pávez",Álex de la Iglesia,"Action, Comedy, Crime",7.5,"13,847",Trimark Pictures,R,1995,tt0112922
248,1020,tt0106582,185000211,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner",Renny Harlin,"Action, Adventure, Thriller",6.4,"102,842",Sony Pictures Home Entertainment,R,1993,tt0106582
249,1032,tt0113277,127436818,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight",Michael Mann,"Action, Crime, Drama",8.2,"470,084",Warner Bros.,R,1995,tt0113277
250,1035,tt0116790,5770254,"Zdenek Sverák, Andrey Khalimon, Libuse Safránková, Ondrej Vetchý",Jan Sverák,"Comedy, Drama, Music",7.8,"12,798",Miramax,PG-13,1996,tt0116790
251,1037,tt0116583,138851,"Jason Alexander, Mary Kay Bergman, Corey Burton, Jim Cummings","Gary Trousdale, Kirk Wise","Animation, Drama, Family",6.9,"114,388",Walt Disney Feature Animation,G,1996,tt0116583
252,1046,tt0114781,44324083,"Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl",Geoff Murphy,"Action, Thriller",5.4,"38,339",Warner Home Video,R,1995,tt0114781
253,1048,tt0116790,5770254,"Zdenek Sverák, Andrey Khalimon, Libuse Safránková, Ondrej Vetchý",Jan Sverák,"Comedy, Drama, Music",7.8,"12,798",Miramax,PG-13,1996,tt0116790
254,1050,tt0117509,132798761,"Leonardo DiCaprio, Claire Danes, John Leguizamo, Harold Perrineau",Baz Luhrmann,"Drama, Romance",6.8,"180,386",20th Century Fox,PG-13,1996,tt0117509
255,1051,tt0118883,61982834,"Mel Gibson, Julia Roberts, Patrick Stewart, Cylk Cozart",Richard Donner,"Action, Mystery, Thriller",6.7,"81,696",Warner Home Video,R,1997,tt0118883
256,1052,tt0120762,214320254,"Miguel Ferrer, Harvey Fierstein, Freda Foh Shen, June Foray","Tony Bancroft, Barry Cook","Animation, Adventure, Family",7.6,"193,512",Buena Vista,G,1998,tt0120762
257,1060,tt0099253,22763605,"Alex Vincent, Jenny Agutter, Gerrit Graham, Christine Elise",John Lafia,"Horror, Thriller",5.8,"34,495",MCA Universal Home Video,R,1990,tt0099253
258,1065,tt0103956,7560255,"Justin Whalin, Perrey Reeves, Jeremy Sylvers, Travis Fine",Jack Bender,"Action, Horror, Thriller",5.0,"28,089",MCA Universal Home Video,R,1991,tt0103956
259,1067,tt0104431,340991681,"Macaulay Culkin, Joe Pesci, Daniel Stern, Catherine O'Hara",Chris Columbus,"Adventure, Comedy, Family",6.6,"227,968",20th Century Fox,PG,1992,tt0104431
260,1070,tt0108333,23898845,"Charlie Sheen, Kiefer Sutherland, Chris O'Donnell, Oliver Platt",Stephen Herek,"Action, Adventure, Comedy",6.4,"43,763",Disney,PG,1993,tt0108333
261,1074,tt0112573,138000000,"James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo",Mel Gibson,"Biography, Drama, History",8.4,"808,612",Paramount Pictures,R,1995,tt0112573
262,1078,tt0116583,138851,"Jason Alexander, Mary Kay Bergman, Corey Burton, Jim Cummings","Gary Trousdale, Kirk Wise","Animation, Drama, Family",6.9,"114,388",Walt Disney Feature Animation,G,1996,tt0116583
263,1091,tt0087884,435023,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Aurore Clément",Wim Wenders,Drama,8.1,"57,909",20th Century Fox,R,1984,tt0087884
264,1092,tt0087332,265212467,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis",Ivan Reitman,"Action, Adventure, Comedy",7.8,"295,448",Columbia Pictures,PG,1984,tt0087332
265,1102,tt0104692,22101000,"Jeff Fahey, Pierce Brosnan, Jenny Wright, Mark Bringelson",Brett Leonard,"Horror, Sci-Fi",5.4,"29,662",Sony Pictures Home Entertainment,R,1992,tt0104692
266,1112,tt0106977,324875760,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore",Andrew Davis,"Action, Crime, Drama",7.8,"227,692",Warner Bros. Pictures,PG-13,1993,tt0106977
267,1113,tt0107688,57634409,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey",Henry Selick,"Animation, Family, Fantasy",8.0,"243,746",Touchstone Pictures,PG,1993,tt0107688
268,1121,tt0095016,112767956,"Bruce Willis, Bonnie Bedelia, Reginald VelJohnson, Paul Gleason",John McTiernan,"Action, Thriller",8.2,"647,985",20th Century Fox,R,1988,tt0095016
269,1124,tt0097814,11272849,"Minami Takayama, Rei Sakuma, Kappei Yamaguchi, Keiko Toda",Hayao Miyazaki,"Animation, Adventure, Drama",7.9,"86,114",N/A,G,1989,tt0097814
270,1125,tt0098384,95904091,"Sally Field, Dolly Parton, Shirley MacLaine, Daryl Hannah",Herbert Ross,"Comedy, Drama, Romance",7.2,"37,358",Sony Pictures Home Entertainment,PG,1989,tt0098384
